Title,Release Year,Parent Rating,genre,Summary,Writers,Stars,Direcctor
Husna,2018,,"Short, Musical",,,,
Kakanfo,,,Drama,,,"Muyiwa Adegoke, Abeni Agbon, Ifakolade Ajanaku",
Rise of the Saints,2020,,Adventure,"Luke was caught between a war between light and darkness, he will have to choose between a destiny of honour or his dazzling dream of music and fame","Tamara Aihie, Ayodele Funsho","Olufunmi Ronke Disu, Peter Fatomilola, Teleola Kuponiyi",Samuel O. Olateru
This Lady Called Life,2020,,Drama,"Abandoned by her family, young single mother Aiye struggles to survive but stays focused on her dream of becoming an elite chef.",Toluwani Obayan,"Bisola Aiyeola, Bamidele Akingbulu, Rhoda Albert",Kayode Kasum
Honest Thief,2020,PG-13,"Action, Crime, Drama","Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.","Steve Allrich, Mark Williams","Liam Neeson, Kate Walsh, Jai Courtney",Mark Williams
Lagos to Abuja Coach,,,Comedy,A disparate group of passengers are forced to bond when their coach breaks down.,Olumide Balogun,"Adunni Ade, Maryam Booth, Emmanuel Ilemobayo",Okosa Augustine
Beyoncé: Lemonade,2016,,Music,A view of a woman's journey through life.,Warsan Shire,"Beyoncé, Brittani Alexander, Jasmine Badie",Beyoncé
Lemonade,2018,,Drama,Lemonade Hollywood movie.,"Tatiana Ionascu, Ioana Uricaru","Mãlina Manovici, Dylan Smith, Steve Bacic",Ioana Uricaru
Greenland,2020,PG-13,"Action, Drama, Sci-Fi",A family struggles for survival in the face of a cataclysmic natural disaster.,Chris Sparling,"Gerard Butler, Morena Baccarin, Roger Dale Floyd",Ric Roman Waugh
Greenland,,,Documentary,,,,
"Groenland, vingt mille lieues sur les glaces",1952,,Documentary,Filmic record of the French polar expeditions headed by Paul-Emile Victor to Greenland in 1948-1951.,"Marcel Ichac, Jean-Jacques Languepin","Georges de Caunes, Paul-Émile Victor",Marcel Ichac
Rattlesnake,2019,TV-MA,"Drama, Horror, Mystery","When a single mother accepts the help of a mysterious woman after her daughter is bitten by a rattlesnake, she finds herself making an unthinkable deal with the devil to repay the stranger.",Zak Hilditch,"Carmen Ejogo, Theo Rossi, Emma Greenwell",Zak Hilditch
Stepping Into Maggie's Shoes,2020,,Drama,This movie addresses issues that Christendom and the Church is largely silent about.,Opeyemi Akintunde,"Mike Abdul, Opeyemi Akintunde, Eucharia Anunobi Ekwu",David Kola Okeowo
Chien de garde,2018,TV-MA,Drama,"JP and Vincent, two brothers from a dysfunctional family, get involved in their uncle's drug cartel. Things quickly start spiraling out of control for Vincent, the younger and more unstable of the two.",Sophie Dupuis,"Théodore Pellerin, Jean-Simon Leduc, Paul Ahmarani",Sophie Dupuis
Family First,2022,,"Action, Crime, Drama","A wife is murdered, a daughter disappears, and the lives of three adopted brothers fall apart. Months later, everyone has moved on but the youngest brother, Keeno Marshall, who moves mountains to try to find his presumed dead daughter.",Andrew Jacob Brown,"Andrew Jacob Brown, Christopher Shane Lowry, John Chenoweth",Andrew Jacob Brown
Family First,,,Drama,"This Feature revolves around the life of Sharma who continues to take debt for meeting his day to day expenses and end up getting broke . One of his child has to go an emergency surgery, now the question is how he will arrange the same.",Imran A. Khan,"Imran A. Khan, Suraj Choudhary, Rajiv Ayachi",Shiv Kumar Pathak
Freaky,2020,R,"Comedy, Horror, Thriller","After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.","Michael Kennedy, Christopher Landon","Vince Vaughn, Kathryn Newton, Celeste O'Connor",Christopher Landon
Freaky,2003– ,,"Drama, Fantasy, Horror","An anthology series consisting of 13 shows, each with 3 stories in each show. The show was broadcast in New Zealand and Australia; and was hosted by Daniel Costello.",,"Daniel Costello, Paul Yates, Dylan McKay",
Bando,2020,Not Rated,"Action, Horror, Thriller","A zombie virus has in the last 4 years spread to all South Korea. 4 Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.","Sang-ho Yeon, Ryu Yong-jae","Dong-won Gang, Lee Jung-hyun, Re Lee",Sang-ho Yeon
Peninsula,2019,,Drama,"In a not distant future on a remote peninsula a young dreamer encounters an older peripatetic trader, who determines to teach the younger man a lesson; a lesson that will have unforeseen consequences for the few inhabitants of this remote place. Inspired by a tale from the brothers Grimm, Peninsula is a dark magic realist fable of karma and retribution.",Tim Rolt,"Tom Beedim, Rustyna Edwards, Olivia Griffiths",Tim Rolt
Peninsula,,,Crime,,"See writer, See producer",See preliminary cast,See company contact information
Peninsula,2014,Not Rated,"Documentary, Action, Adventure","On a trip from north to south, from the most crowded spots to unknown breaks, PENINSULA is the tale of a journey to discover and describe where surfing in Italy came from and what it is like nowadays.",Ferrari Matteo,"Sebastiano Concas, Thomas Cravarezza, Roberto D'Amico",Luca Merli
Voiceless,2020,,Thriller,"The Hausa feature film is a story of love and the power of dreams in the midst of the violence and terrorism in Nigeria's northeast and is based on eyewitness account. It follows the story of a bright, promising girl, Salma who was held captive by a daring terrorist group along with 245 of her schoolmates. Despite her seemingly hopeless reality, she refuses to give up... Read all",Jennifer Agunloye,"Mary Anawo, Musa Ashoms, Rekiya Attah",Robert Peters
Voiceless,2015,PG-13,"Drama, Thriller",A reserved young war veteran moves to North East Philadelphia to start an inner-city community outreach and puts his life on the line to stand against an abortion clinic that moved across the street from his building.,Pat Necerato,"Rusty Joiner, Jocelyn Cruz, Victoria Gates",Pat Necerato
Voiceless,2017,,Short,,Darius Midcalf,"Kelsy Bygrave, Chris Cooper, Alex Damon",Darius Midcalf
Voiceless,2008,,"Documentary, Short",Be a voice for the voiceless.,,Michael Shum,
Fatman,2020,R,"Action, Fantasy, Thriller","A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.","Ian Nelms, Eshom Nelms","Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",Eshom Nelms
Introducing the Kujus,2020,12,Comedy,Introducing The Kujus tells the story of siblings who have been at crossroads since their mother's death.,"Mannie Oiseomaye, Biodun Stephen, Donald Tombia","Bisola Aiyeola, Timini Egbuson, Femi Jacobs",Biodun Stephen
To All the Broken Hearted,2020,,"Drama, Romance",A young woman suffers the trauma of losing her twin sister.,Francisca Eleyele,"Bimbo Akintola, Uche Elendu, Desmond Elliot",Desmond Elliot
100% Wolf,2020,PG,"Animation, Adventure, Comedy","100% Wolf centers on Freddy Lupin, heir to a proud family line of werewolves. Positive he'll become the most fearsome werewolf ever, Freddy is in for a shock when his first ""warfing"" goes awry, turning him into a ferocious - poodle.","Ranald Allan, David Breen, Fin Edquist","Loren Gray, Adriane Daff, Jane Lynch",Alexs Stadermann
Finding Hubby,2020,,"Comedy, Drama, Romance","Finding Hubby follows the adventures of 35-year-old Oyin Clegg and her friends Toke and Gloria as they kiss the many frogs in the quest to find their prince. In the process, they are forced to ask important questions about their friendship, love and life ultimately asking - Finding Hubby or Finding Happy?","Temitope Bolade, Diche Enunwa, Tunde Leye","Rosemary Abazie, Munachi Abii, Omobola Akinde",Olufemi Ogunsanwo
No Chance,2020,,"Action, Comedy, War","When a group of international criminals from his past kidnap his daughter, the world's greatest commando sets out for revenge in this action-packed parody of everything you loved about the 80's.",Jason Chilton,"John Mantrixx, Jason Chilton, Kacey Samiee",Matt Poitras
Quam's Money,2020,,"Comedy, Crime",Quam's Money follows the adventures of security guard-turned-millionaire 'Quam' played by Folarin 'Falz' Falana as he navigates the world with his newfound wealth.,Chinaza Onuzo,"Falz, Nse Ikpe-Etim, Uchemba Williams",Kayode Kasum
A Quiet Place Part II,2020,PG-13,"Drama, Horror, Sci-Fi","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.","John Krasinski, Bryan Woods, Scott Beck","Emily Blunt, Millicent Simmonds, Cillian Murphy",John Krasinski
Ratnik,2020,,"Action, Sci-Fi","Ratnik, is the story of a World War III soldier returning home after a quarterly phase rotation programme, only to find out that her home front has now descended into some kind of chaos. Set in a remote Africa town during the early days of World War III, a special trooper Sarah Bello ""Osas Ighodaro"" returns home from the war-front to meet am unpleasant scenario. Her o... Read all",Dimeji Ajibola,"Osas Ighodaro, Bolanle Ninalowo, Paul Utomi",Dimeji Ajibola
Love Bane,,,Drama,"Henry walks away from an extramarital affair that threatens the peace of his family, but nothing's quite so easy when a crazy mistress is involved.",Pacass Adebayo,"Tana Adelana, Sandra Bremaud, Ufuoma McDermott",Richards Omos-Iboyi
Our Jesus Story,2020,,Drama,"The Biblical story of Jesus, retold in a Nigerian setting with a Nigerian cast.","Tchidi Chikere, Ojiofor Ezeanyaeche","Adjetey Anang, Eucharia Anunobi Ekwu, Sam Dede",Tchidi Chikere
Son of Mercy,2020,,Crime,,Victor Negro,"Fidelis Castro, Edjodamen Ejehi, Alexx Ekubo",Amen Imasuen
Nneka the Pretty Serpent,2020,,"Horror, Mystery","When her parents are murdered, Nneka encounters the Queen of the Coast who offers to help her in revealing the identities of people who killed her parents. This changes the course of her life as she sets out on a mission of revenge.",Uyoyou Adia,"Idia Aisien, Kenneth Okolie, Onikosi Bukola Abisoye",Tosin Igho
Nneka the Pretty Serpent,1994,,"Drama, Horror",,"Zeb Ejiro, Joe Dudun, Okechukwu Ogunjiofor","Ndidi Obi, Okechukwu Ogunjiofor, Rita Nzelu",Zeb Ejiro
Wonder Woman 1984,2020,PG-13,"Action, Adventure, Fantasy","Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.","Patty Jenkins, Geoff Johns, Dave Callaham","Gal Gadot, Chris Pine, Kristen Wiig",Patty Jenkins
Omo Ghetto,,,Drama,,,"Tunde Adelaja, Ayo Adeleke, Ibrahim Adeleke",
Soul,2020,PG,"Animation, Adventure, Comedy","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","Pete Docter, Mike Jones, Kemp Powers","Jamie Foxx, Tina Fey, Graham Norton",Pete Docter
"Love, Weddings & Other Disasters",2020,PG-13,"Comedy, Romance","It is a multi-story romantic comedy about the people who work on weddings to create the perfect day for a loving couple - while their own relationships are outlandish, odd, crazy and far from perfect.","Eileen Conn, Dennis Dugan, Larry Miller","Maggie Grace, Diane Keaton, Jeremy Irons",Dennis Dugan
Tanwa Savage,2021,,"Comedy, Drama",,Geshin Salvador,"Bimbo Ademoye, Segun Arinze, Uzor Arukwe",Geshin Salvador
The Ten Virgins,2019,,"Drama, Family, Musical",Ten Virgin maidens engaged to a great prince must remain faithful to him while he is away on an infinite journey,Blessing Effiom Egbe,"Aanu Adeleke, Honey Adum, Tunbosun Aiyedehin",Blessing Effiom Egbe
Delusion,1991,R,"Crime, Drama, Thriller","A man who has just embezzled money from his company is driving through the Nevada desert. He picks up a pretty girl and her seemingly goofy boyfriend. The girl is a Las Vegas showgirl and the boyfriend turns out to be a professional killer, and he has no intention of letting the motorist finish the trip.","Carl Colpaert, Kurt Voss","Jim Metzler, Jennifer Rubin, Kyle Secor",Carl Colpaert
Delusion,1981,R,Horror,A nurse goes to a house to care for a crippled old man. Then people in the house start being murdered.,"Alan Beattie, Jack Viertel","Patricia Pearcy, David Hayward, John Dukakis",Alan Beattie
Delusion,2016,,"Drama, Horror, Mystery",Three years after the death of Frank's wife a mysterious woman appears. As their attraction grows Frank struggles with reality and his loss. He tries to start over not knowing his choices could lead him to his own downfall.,Christopher Di Nunzio,"David Graziano, Jami Tennille, Irina Peligrad",Christopher Di Nunzio
Monsters of Man,2020,,"Action, Sci-Fi, Thriller",A US weapons manufacturer tests its 4 killer robots on heroin producers in the Golden Triangle in SEAsia. It goes haywire.,"Jeff Hand, Mark Toia","Neal McDonough, Brett Tutor, Jose Rosete",Mark Toia
Sanitation Day,2020,,Thriller,Two cops must contend with the uncooperative tenants of an apartment complex as they try to solve a murder before the crime scene is wiped clean.,"Seyi Babatope, Temitope Bolade, Diche Enunwa","Rosemary Abazie, Baaj Adebule, Tunji Aderibigbe",Seyi Babatope
2 Weeks in Lagos,2019,12,Romance,"""2 Weeks in Lagos"" is a turbulent and thrilling journey into the lives of Ejikeme and Lola. Their lives collide when Ejikeme an investment banker comes home from the United States with Lola's brother Charlie to invest in Nigerian businesses. It is love at first sight for them and as they embark on a journey of discovering this new love, they have to contend with the p... Read all",Kathryn Fasegha,"Toyin Abraham, Bambo Adebowale, Lawal Aramide",Kathryn Fasegha
Fine Wine,2021,,Romance,A beautiful love story that can happen between two people regardless of their age gaps.,"Temitope Bolade, Diche Enunwa","Baaj Adebule, Ademola Adedoyin, Segun Arinze",Seyi Babatope
Still Falling,2021,,"Drama, Romance","The movie tells the story about love and forgiveness. This story of opposites of feelings - love and hate, faith and doubt, grace and guts, triumphs and regrets.",,"Liz Benson, Daniel Etim Effiong, Laura Fidel",
